"Index","SKY.Open","SKY.High","SKY.Low","SKY.Close","SKY.Volume","SKY.Adjusted"
"2021-08-02",56.720001,57.830002,56.380001,57.400002,416200,57.400002
"2021-08-03",57.470001,57.740002,55.439999,57.130001,416100,57.130001
"2021-08-04",56.049999,60.380001,56.049999,59.849998,723300,59.849998
"2021-08-05",60.900002,61.959999,59.599998,60.060001,525000,60.060001
"2021-08-06",60.549999,60.970001,59.580002,59.619999,625600,59.619999
"2021-08-09",59.380001,61.900002,58.009998,61.150002,459600,61.150002
"2021-08-10",61.349998,64.230003,61.099998,62.66,539600,62.66
"2021-08-11",62.529999,63.66,61.849998,63.259998,400200,63.259998
"2021-08-12",63.209999,63.41,61.759998,62.34,440200,62.34
"2021-08-13",62.599998,62.650002,61.389999,61.68,321100,61.68
